,Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Timestamp
84,whats in a latte,1,1,5400,82.12,0.0,https://news.dunkindonuts.com/blog/latte-vs-cappuccino-vs-macchiato-whats-the-difference,2538,0.04,0,0.0,4450000,8/30/2020
85,dunkin donuts prices,2,3,22200,80.48,1.37,https://www.dunkindonuts.com/en/menu,2886,0.04,3953,0.01,0,8/30/2020
86,dunkin donuts open,1,1,3600,83.42,3.69,https://www.dunkindonuts.com/en/locations,2880,0.04,10627,0.0,30100000,8/30/2020
87,dunkin donuts coolatta,1,1,3600,86.85,5.3,https://news.dunkindonuts.com/blog/what-is-coolatta-dunkin,2880,0.04,15264,0.11,0,8/30/2020
88,dunkin donuts thanksgiving hours,1,1,3600,81.98,0.0,https://www.dunkindonuts.com/en/locations,2880,0.04,0,0.0,100,8/14/2020
89,dunkin donuts near my location,1,1,3600,83.4,2.15,https://www.dunkindonuts.com/en/locations,2880,0.04,6192,0.01,34000000,8/30/2020
90,dunkin donuts hiring near me,1,1,3600,79.37,1.24,https://www.dunkindonuts.com/en/careers,2880,0.04,3571,0.1,57,8/30/2020
91,dunkin donuts beyond meat,1,1,3600,86.6,0.84,https://www.dunkindonuts.com/en/menu/sandwiches-and-more/beyond-sausage,2880,0.04,2419,0.01,579000,8/30/2020
92,iced macchiato,1,1,5400,78.78,1.97,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/iced-macchiato,2538,0.04,4999,0.07,88,8/30/2020
93,dunkin gift card,1,1,3600,79.58,2.1,https://www.dunkindonuts.com/en/dd-cards/gift-cards,2880,0.04,6048,0.37,2310000,8/30/2020
94,dunkin donuts number,1,1,2400,86.88,0.0,https://www.dunkindonuts.com/en/about/contact-us,1920,0.03,0,0.0,31300000,8/26/2020
95,dunkin cold brew,1,1,2900,88.04,1.63,https://www.dunkindonuts.com/en/menu/espresso-and-coffee/cold-brew,2320,0.03,3781,0.63,856000,8/24/2020
96,dunkin donuts dozen,1,1,2400,81.72,0.0,https://www.dunkindonuts.com/en/menu,1920,0.03,0,0.02,960000,8/25/2020
97,dunkin donuts phone number,1,1,2900,89.43,0.0,https://www.dunkindonuts.com/en/about/contact-us,2320,0.03,0,0.01,23,8/20/2020
98,dunkin donuts pumpkin spice,1,1,2400,87.44,0.0,https://news.dunkindonuts.com/news/answering-the-call-for-fall-dunkins-signature-pumpkin-spice-latte-and-fall-menu-arrive-august-19,1920,0.03,0,1.0,459000,8/18/2020
